wav2vec2,Hypothesis,Predictions
ही था राम को किसी तरह समाचार मिल जाए उन्होंने अपने आभूषण उतारकर फेंकना प्रारंभ कर दिया आभूषण वनरों ने,ही था राम को किसी तरह समाचार मिल जाए उन्होंने अपने आभूषण उतारकर फेंकना प्रारंभ कर दिया आभूषण वनरों ने,ही था राम को किसी तरह समाचार मिल जाए उन्होंने अपने आभूषण उतार कर फेंकना प्रारंभ कर दिया आभूषण वनरों ने
उठा लिएउन्हें आशा थी कि वहनरों के पास यह आभूषण देखकर राम समझ जाएंगे उन्हें पता चल जाएगा कि सीता किस,उठा लिएउन्हें आशा थी कि वहनरों के पास यह आभूषण देखकर राम समझ जाएंगे उन्हें पता चल जाएगा कि सीता किस,उठा लिए उन्हें आशा थी कि वहनरों के पास यह आभूषण देखकर राम समझ जाएंगे उन्हें पता चल जाएगा कि सीता किस
स मार्ग से कई है राहण ने सीता को आभूषण फींकने से नहीं रोका उसे लगा कि सीता शोक में ऐसा कर,स मार्ग से कई है राहण ने सीता को आभूषण फींकने से नहीं रोका उसे लगा कि सीता शोक में ऐसा कर,स मार्ग से कई है राहण ने सीता को आभूषण फंकने से नहीं रोका उसे लगा कि सीता शोक में ऐसा कर
कुछ ही समय में रामण लंटा पहुँच,कुछ ही समय में रामण लंटा पहुँच,कुछ ही समय में रामण लंटा पहुँच
उन्हें लेकर वसीधा पने अंतापुर में गया,उन्हें लेकर वसीधा पने अंतापुर में गया,उन्हें लेकर वसीधा पने अंतापुर में गया
राक्षसियों को सीता की निगरानी करते रहने को कहा,राक्षसियों को सीता की निगरानी करते रहने को कहा,राक्षसियों को सीता की निगरानी करते रहने को कहा
बाहर निकल गया थोड़ी देर में वह फिर लौटा सीता को घूरते हुए उसने कहा सुंदरी मै तुम्हें एक,बाहर निकल गया थोड़ी देर में वह फिर लौटा सीता को घूरते हुए उसने कहा सुंदरी मै तुम्हें एक,बाहर निकल गया थोड़ी देर में वह फिर लौटा सीता को घूरते हुए उसने कहा सुंदरी मैं तुम्हें एक
एक वर्ष का समय देता हूं निर्णय तुम्हें करना है मेरी रानी बनकर लंका में राज करोगी या विलाफ करते हुए,एक वर्ष का समय देता हूं निर्णय तुम्हें करना है मेरी रानी बनकर लंका में राज करोगी या विलाफ करते हुए,एक वर्ष का समय देता हूँ निर्णय तुम्हें करना है मेरी रानी बनकर लंका में राज करोगी या विलाफ करते हुए
जीवन बिताओगी,जीवन बिताओगी,जीवन बिताओगी
सीता बारबार रावण को दिखकारती रही राम का गुणदान करती रही रावण को क्रोध आ गया तुम्हारा राम यहां कभी,सीता बारबार रावण को दिखकारती रही राम का गुणदान करती रही रावण को क्रोध आ गया तुम्हारा राम यहां कभी,सीता बारबार रावण को दिखकारती रही राम का गुणदान करती रही रावण को क्रोध आ गया तुम्हारा राम यहाँ कभी
नहीं पहुच सकता,नहीं पहुच सकता,नहीं पहुंच सकता
तुम्हें कोई नहीं बचा सकता तुम्हारी रक्षा केवल मै कर सकता हूं मुझे स्वीकार करो और लंका में सुख,तुम्हें कोई नहीं बचा सकता तुम्हारी रक्षा केवल मै कर सकता हूं मुझे स्वीकार करो और लंका में सुख,तुम्हें कोई नहीं बचा सकता तुम्हारी रक्षा केवल मैं कर सकता हूँ मुझे स्वीकार करो और लंका में सुख
ु से रहो,ु से रहो,हाँ जी सर रहो
पापी रावण राम तुझे अपनी दृष्टि से जलाकर राख कर सकते हैं,पापी रावण राम तुझे अपनी दृष्टि से जलाकर राख कर सकते हैं,पापी रावण राम तुझे अपनी दृष्टि से जलाकर राख कर सकते हैं
उनकी शक्ति देवता भी स्वीकार करते हैं,उनकी शक्ति देवता भी स्वीकार करते हैं,उनकी शक्ति देवता भी स्वीकार करते हैं
मैं उस राम की पत्नी हूं जिसके तेज और पराक्रम के आगे कोई नहीं ठहर सकता तेरा सारा वैभव,मैं उस राम की पत्नी हूं जिसके तेज और पराक्रम के आगे कोई नहीं ठहर सकता तेरा सारा वैभव,मैं उस राम की पत्नी हूँ जिसके तेज और पराक्रम के आगे कोई नहीं ठहर सकता तेरा सारा वैभव
मेरे लिए अर्थहीन है तुने पाप किया है राम के हाथों तेरा अंत निश्चित है,मेरे लिए अर्थहीन है तुने पाप किया है राम के हाथों तेरा अंत निश्चित है,मेरे लिए अर्थहीन है तुने पाप किया है राम के हाथों तेरा अंत निश्चित है
राम की इतनी प्रशंसा सुनकर रावण कुछ चिंतित हो गया उसने सोचा घरदूषण को मारने वाला अवश्य शक्तिशाली होगा,राम की इतनी प्रशंसा सुनकर रावण कुछ चिंतित हो गया उसने सोचा घरदूषण को मारने वाला अवश्य शक्तिशाली होगा,राम की इतनी प्रशंसा सुनकर रावण कुछ चिंतित हो गया उसने सोचा घरदूषण को मारने वाला अवश्य शक्तिशाली होगा
उसने त्काल,उसने त्काल,उसने त्काल
राम और लक्ष्मण वहीं रहते,राम और लक्ष्मण वहीं रहते,राम और लक्ष्मण वहीं रहते हैं
उनका एकएक समाचार मुझे मिलना चाहिए,उनका एकएक समाचार मुझे मिलना चाहिए,उनका एक-एक समाचार मुझे मिलना चाहिए
दोनों पर निगरानी रखो मौका मिलते ही उन्हें मार डालो उदरशीता को पाने के लिए रावण ने अपनी योजना बदी,दोनों पर निगरानी रखो मौका मिलते ही उन्हें मार डालो उदरशीता को पाने के लिए रावण ने अपनी योजना बदी,दोनों पर निगरानी रखो मौका मिलते ही उन्हें मार डालो उदरशीता को पाने के लिए रावण ने अपनी योजना बदी
उन्हें,उन्हें,उन्हें
अंतःपुर से निकालकर अशोक वाठिका में बंदी बना दिया गया,अंतःपुर से निकालकर अशोक वाठिका में बंदी बना दिया गया,अंतःपुर से निकालकर अशोक वाठिका में बंदी बना दिया गया
पेहरा कड़ा कर दिया गया राक्षसो ्राक्षसियों को स्पष्ट निर्देश दे सीता को किसी तरह का शारीरिक कष्ट,पेहरा कड़ा कर दिया गया राक्षसो ्राक्षसियों को स्पष्ट निर्देश दे सीता को किसी तरह का शारीरिक कष्ट,पेहरा कड़ा कर दिया गया राक्षसो राक्षसियों को स्पष्ट निर्देश दे सीता को किसी तरह का शारीरिक कष्ट
ो इसके,ो इसके,हाँ इसके
े मन को दुःख पहुंचाओ अपमानित करो लेकिन सीता को कोई हाथ न लगाएरावण ने सब कुछ किया पर सीता का,े मन को दुःख पहुंचाओ अपमानित करो लेकिन सीता को कोई हाथ न लगाएरावण ने सब कुछ किया पर सीता का,ये मन को दुःख पहुंचाओ अपमानित करो लेकिन सीता को कोई हाथ ना लगाएरावण ने सब कुछ किया पर सीता का
ें राम ही बचा सकते थेतो दोस्तों,ें राम ही बचा सकते थेतो दोस्तों,हाँ राम ही बचा सकते थे दोस्तों
ो यहाँ पर बालराम कथा का सातवां पाठ समाप्त होता है हम अगले शनिवार फिर हाजिर होंगे आपके समक्ष,ो यहाँ पर बालराम कथा का सातवां पाठ समाप्त होता है हम अगले शनिवार फिर हाजिर होंगे आपके समक्ष,वो यहाँ पर बालराम कथा का सातवां पाठ समाप्त होता है हम अगले शनिवार फिर हाजिर होंगे आपके समक्ष
अगला पाट लेकर सीता की खोज,अगला पाट लेकर सीता की खोज,अगला पाट लेकर सीता की खोज
तब तक के लिए,तब तक के लिए,तब तक के लिए
रामराम दोस्तों एक बार फिर से आपका स्वागत है आपके अपने प्रिय चैनल बोलती बुक्स विथ अंजली में और आज में,रामराम दोस्तों एक बार फिर से आपका स्वागत है आपके अपने प्रिय चैनल बोलती बुक्स विथ अंजली में और आज में,रामराम दोस्तों एक बार फिर से आपका स्वागत है आपके अपने प्रिय चैनल बोलती बुक्स विथ अंजली में और आज में
आशंकाएं थीं मारीज की माया उन्होंने देख ली थीं वह छल से उन्हें कुटिया से दूर ले आया था,आशंकाएं थीं मारीज की माया उन्होंने देख ली थीं वह छल से उन्हें कुटिया से दूर ले आया था,आशंकाएं थीं मारीज की माया उन्होंने देख ली थीं वह छल से उन्हें कुटिया से दूर ले आया था
अब क्या होगा यही सोचते हुए वे कुटिया की ओर भागे चले जा रहे थे,अब क्या होगा यही सोचते हुए वे कुटिया की ओर भागे चले जा रहे थे,अब क्या होगा यही सोचते हुए वे कुटिया की ओर भागे चले जा रहे थे
े वापसी में,े वापसी में,वापसी में
अच्छा हो कि लक्ष्मण वहीं हूं महारीज की मायावी आवाज,अच्छा हो कि लक्ष्मण वहीं हूं महारीज की मायावी आवाज,अच्छा हो कि लक्ष्मण वहीं हूँ महारीज की मायावी आवाज
स उन तक ना पहुँची हू,स उन तक ना पहुँची हू,सर उन तक ना पहुँची हूँ
राम मे सोचा सीता अकेली रही तो राक्षेश उन्हें माँर डालेंगे खा जाएंगे तभी उन्होंने पकडंडी से लक्ष्मण को आते,राम मे सोचा सीता अकेली रही तो राक्षेश उन्हें माँर डालेंगे खा जाएंगे तभी उन्होंने पकडंडी से लक्ष्मण को आते,राम मे सोचा सीता अकेली रही तो राक्षेश उन्हें माँर डालेंगे खा जाएंगे तभी उन्होंने पकड़ंडी से लक्ष्मण को आते
े देखा वही हुआ जिसका राम को टर था,े देखा वही हुआ जिसका राम को टर था,ये देखा वही हुआ जिसका राम को टर था
अनिश्त की आशंका और बढ़ गई पता नहीं सीता किस हाल में होंगी राक्षुसों ने उन्हें मार डाला होगा उठा,अनिश्त की आशंका और बढ़ गई पता नहीं सीता किस हाल में होंगी राक्षुसों ने उन्हें मार डाला होगा उठा,अनिश्त की आशंका और बढ़ गई पता नहीं सीता किस हाल में होंगी राक्षुसों ने उन्हें मार डाला होगा उठा
ाले गए होंगे अकेली सीचा दोस्त राक्षिशों के सामने क्या कर पाई होंगी कुटी छोड़कर आने पर वह लक्ष्मण से,ाले गए होंगे अकेली सीचा दोस्त राक्षिशों के सामने क्या कर पाई होंगी कुटी छोड़कर आने पर वह लक्ष्मण से,ले गए होंगे अकेली सीचा दोस्त राक्षिसों के सामने क्या कर पाई होंगी कुटी छोड़कर आने पर वह लक्ष्मण से
खुद थे उन्होंने क्रोध पर नियंत्रण रखा,खुद थे उन्होंने क्रोध पर नियंत्रण रखा,खुद थे उन्होंने क्रोध पर नियंत्रण रखा
लक्ष्मा का बाया हाथ,लक्ष्मा का बाया हाथ,लक्ष्मा का बाया हाथ
जोर से पकड़ लिया,जोर से पकड़ लिया,जोर से पकड़ लिया
डर ने दोनों भाइयों को घेर लिया था,डर ने दोनों भाइयों को घेर लिया था,डर ने दोनों भाइयों को घेर लिया था
डेरी सीता ने मुझे विवस कर दिया,डेरी सीता ने मुझे विवस कर दिया,डेरी सीता ने मुझे विवस कर दिया
बराते,बराते,बराते
े उनके कटुवचन मैं स्परैन नहीं कर सका कटाक्ष और उल्हाना नहीं सुन सका मैं जानता था कि आप सकुशल होंगे,े उनके कटुवचन मैं स्परैन नहीं कर सका कटाक्ष और उल्हाना नहीं सुन सका मैं जानता था कि आप सकुशल होंगे,यह उनके कटुवचन मैं स्परैन नहीं कर सका कटाक्ष और उल्हाना नहीं सुन सका मैं जानता था कि आप सकुशल होंगे
आपकी सुरक्षा को लेकर मन में कोई संदेह नहीं था,आपकी सुरक्षा को लेकर मन में कोई संदेह नहीं था,आपकी सुरक्षा को लेकर मन में कोई संदेह नहीं था
ा तब भी मुझे कुटिया छोड़कर आना पड़ा लक्ष्मण ने कहा,ा तब भी मुझे कुटिया छोड़कर आना पड़ा लक्ष्मण ने कहा,तब भी मुझे कुटिया छोड़कर आना पड़ा लक्ष्मण ने कहा
यह तुमने अच्छा नहीं किया,यह तुमने अच्छा नहीं किया,यह तुमने अच्छा नहीं किया
तुम्हें मेरी आज्ञा का उल्लंघन,तुम्हें मेरी आज्ञा का उल्लंघन,तुम्हें मेरी आज्ञा का उल्लंघन
अब जल्दी चलो मेरा मन चिंतित है सीता न जाने के हाल में हूंगी कैसी होंगी मायावी राक्षों का कोई,अब जल्दी चलो मेरा मन चिंतित है सीता न जाने के हाल में हूंगी कैसी होंगी मायावी राक्षों का कोई,अब जल्दी चलो मेरा मन चिंतित है सीता ना जाने के हाल में होंगी कैसी होंगी मायावी राक्षों का कोई
ठिकाना नहीं राम ने चलने की गति और बढ़ा दी कुटियाँ अभी कुछ दूर थी पर दिखाई पड़ने लगी थी रामने,ठिकाना नहीं राम ने चलने की गति और बढ़ा दी कुटियाँ अभी कुछ दूर थी पर दिखाई पड़ने लगी थी रामने,ठिकाना नहीं राम ने चलने की गति और बढ़ा दी कुटियाँ अभी कुछ दूर थी पर दिखाई पड़ने लगी थी राम ने
वहीं से पुकारा सीते तुम कहा हो जैसे कि उन्हें पता चल गया हो कि सीता आश्रम में नहीं है,वहीं से पुकारा सीते तुम कहा हो जैसे कि उन्हें पता चल गया हो कि सीता आश्रम में नहीं है,वहीं से पुकारा सीते तुम कहा हो जैसे कि उन्हें पता चल गया हो कि सीता आश्रम में नहीं है
कुटिया मौन रही वहां से कोई उत्तर नहीं मिला राम की बेचैनी पढ़ गई उनकी एक आवास पर कहीं से,कुटिया मौन रही वहां से कोई उत्तर नहीं मिला राम की बेचैनी पढ़ गई उनकी एक आवास पर कहीं से,कुटिया मौन रही वहाँ से कोई उत्तर नहीं मिला राम की बेचैनी पढ़ गई उनकी एक आवास पर कहीं से
भी उपस्थित हो जाने वाली कीता वहाँ,भी उपस्थित हो जाने वाली कीता वहाँ,भी उपस्थित हो जाने वाली कीता वहाँ
ा नहीं थी,ा नहीं थी,हाँ नहीं थी
अनुपस्थिति बोलटी कै रान की आवाज पेड़ों से टकराकर हवा में विलीन हो गई कुटिया के शून्य में समा,अनुपस्थिति बोलटी कै रान की आवाज पेड़ों से टकराकर हवा में विलीन हो गई कुटिया के शून्य में समा,अनुपस्थिति बोलटी के रान की आवाज पेड़ों से टकरा कर हवा में विलीन हो गई कुटिया के शून्य में समा
गई राम पुकारते रहे उत्तर में उन्हें हर बार सन्नाटा ही मिला चुप्पि हर ओर की,गई राम पुकारते रहे उत्तर में उन्हें हर बार सन्नाटा ही मिला चुप्पि हर ओर की,गई राम पुकारते रहे उत्तर में उन्हें हर बार सन्नाटा ही मिला चुप्पी हर ओर की
हर दिन हवा में झूलने वाले पत्ते शां के दताएँ गुमसूम पड़ी हुई थी,हर दिन हवा में झूलने वाले पत्ते शां के दताएँ गुमसूम पड़ी हुई थी,हर दिन हवा में झूलने वाले पत्ते शां के दताएँ गुमसूम पड़ी हुई थी
चिड़ियों की चाक लुप्त थी कुटिया के निकट घूमने वाले पशुपक्षी चुप खड़े थे सब स्तब्ध राम भागते हुए आश्रम पहुंचे,चिड़ियों की चाक लुप्त थी कुटिया के निकट घूमने वाले पशुपक्षी चुप खड़े थे सब स्तब्ध राम भागते हुए आश्रम पहुंचे,चिड़ियों की चाक लुप्त थी कुटिया के निकट घूमने वाले पशु पक्षी चुप खड़े थे सब स्तब्ध राम भागते हुए आश्रम पहुंचे
घुटिया में जाकर देखा सीटे सीटे भुकारते हुए उन्होंने आसपास की हर जगह देखी पेड़ों झाड़ियों के पीछे गए,घुटिया में जाकर देखा सीटे सीटे भुकारते हुए उन्होंने आसपास की हर जगह देखी पेड़ों झाड़ियों के पीछे गए,घुटिया में जाकर देखा सीटे सीटे भुकारते हुए उन्होंने आसपास की हर जगह देखी पेड़ों झाड़ियों के पीछे गए
उन स्थानों की ओर भागे जहां सीता जा सकती थी सीता का कहीं पता न था शोक से व्याकुलराम रोने,उन स्थानों की ओर भागे जहां सीता जा सकती थी सीता का कहीं पता न था शोक से व्याकुलराम रोने,उन स्थानों की ओर भागे जहाँ सीता जा सकती थी सीता का कहीं पता ना था शोक से व्याकुलराम रोने
लगे सीता से पिछुणना उनके लिए असैनीय अघात था वे सुदबुध भुला बैठे विरह में वह गोदावरी नदी के,लगे सीता से पिछुणना उनके लिए असैनीय अघात था वे सुदबुध भुला बैठे विरह में वह गोदावरी नदी के,लगे सीता से पिछणना उनके लिए असैनीय अघात था वे सुदबुध भुला बैठे विरह में वह गोदावरी नदी के
े पास गए उसे पूछा तुमने सीता को कहीं देखा है,े पास गए उसे पूछा तुमने सीता को कहीं देखा है,ये पास गए उसे पूछा तुमने सीता को कहीं देखा है
नदी ने कोई उत्तर नहीं दिया वे पंचवटी के एकएक वृक्ष के पास गय सबसे पूछा कोई सीता का पता,नदी ने कोई उत्तर नहीं दिया वे पंचवटी के एकएक वृक्ष के पास गय सबसे पूछा कोई सीता का पता,नदी ने कोई उत्तर नहीं दिया वे पंचवटी के एक-एक वृक्ष के पास गए सबसे पूछा कोई सीता का पता
बता दें हाथी के पास गए शेर से पूछा फूलों के पास रुके चट्टानों पत्थरों से प्रश्न किया शोक संतप्त,बता दें हाथी के पास गए शेर से पूछा फूलों के पास रुके चट्टानों पत्थरों से प्रश्न किया शोक संतप्त,बता दें हाथी के पास गए शेर से पूछा फूलों के पास रुके चट्टानों पत्थरों से प्रश्न किया शोक संतप्त
राम भूल गए की चट्टाने नहीं बोलती पेड़ पौधे बात नहीं करते उनकी भाषा मौन है उनके उत्तर भी,राम भूल गए की चट्टाने नहीं बोलती पेड़ पौधे बात नहीं करते उनकी भाषा मौन है उनके उत्तर भी,राम भूल गए की चट्टाने नहीं बोलती पेड़-पौधे बात नहीं करते उनकी भाषा मौन है उनके उत्तर भी
िमौन राम की मानसिक स्थिति विक्षिप्त जैसी थी एक भार उनहे लगा कि सीता वहीं है कुटिया के पास अभी भागकर पेड़,िमौन राम की मानसिक स्थिति विक्षिप्त जैसी थी एक भार उनहे लगा कि सीता वहीं है कुटिया के पास अभी भागकर पेड़,मौन राम की मानसिक स्थिति विक्षिप्त जैसी थी एक भार उन्हे लगा कि सीता वहीं है कुटिया के पास अभी भाग कर पेड़
के पीछे छिप गई है उन्हें खिजाने के लिए मेरे साथ परिहास मतकरो सीटे रामस भेड़ की ओर धौल़ पड़े वहां,के पीछे छिप गई है उन्हें खिजाने के लिए मेरे साथ परिहास मतकरो सीटे रामस भेड़ की ओर धौल़ पड़े वहां,के पीछे छिप गई है उन्हें खिजाने के लिए मेरे साथ परिहास मतकरो सीटे रामस भेड़ की ओर धौल पड़े वहाँ
कोई नहीं था वे निराश होकर पेड़ के नीचे बैठ कए राम का दुःख लक्ष्मण से देखा नहीं जा रहा,कोई नहीं था वे निराश होकर पेड़ के नीचे बैठ कए राम का दुःख लक्ष्मण से देखा नहीं जा रहा,कोई नहीं था वे निराश होकर पेड़ के नीचे बैठ कए राम का दुःख लक्ष्मण से देखा नहीं जा रहा
उनका व्यवहार सहन नहीं हो रहा था और राम के निकट गय विलाप करते राम ने कहा मैं सीता के,उनका व्यवहार सहन नहीं हो रहा था और राम के निकट गय विलाप करते राम ने कहा मैं सीता के,उनका व्यवहार सहन नहीं हो रहा था और राम के निकट गए विलाप करते राम ने कहा मैं सीता के
बिना नहीं रह सकता तुम अयोध्या लॉड जॉल लक्ष्मण मैं वहां नहीं जाऊंगा यहीं प्राण दे दूंगा मैं सीता के साथ,बिना नहीं रह सकता तुम अयोध्या लॉड जॉल लक्ष्मण मैं वहां नहीं जाऊंगा यहीं प्राण दे दूंगा मैं सीता के साथ,बिना नहीं रह सकता तुम अयोध्या लॉड जॉल लक्ष्मण मैं वहाँ नहीं जाऊंगा यहीं प्राण दे दूंगा मैं सीता के साथ
आया था उसके बिना कैसे लौटूंगा नगरवासियों को क्या मुंह दिखाऊंगा तुम जाओ मुझे यहीं छोड़ दो,आया था उसके बिना कैसे लौटूंगा नगरवासियों को क्या मुंह दिखाऊंगा तुम जाओ मुझे यहीं छोड़ दो,आया था उसके बिना कैसे लौटूंगा नगरवासियों को क्या मुंह दिखाऊंगा तुम जाओ मुझे यहीं छोड़ दो
आप आदर्श पुरुष हैं आपको धैर्य रखना चाहि इस तरह दुख से कातर नहीं होना चाहिए हम मिलकर सीता की खोज,आप आदर्श पुरुष हैं आपको धैर्य रखना चाहि इस तरह दुख से कातर नहीं होना चाहिए हम मिलकर सीता की खोज,आप आदर्श पुरुष हैं आपको धैर्य रखना चाहिए इस तरह दुख से कातर नहीं होना चाहिए हम मिलकर सीता की खोज
श करेंगे वे जहां भी होंगी हम उन्हें ढूंढ निकालेंगे सीता हमारी प्रतीक्षा कर रही होंगी लक्ष्मण ने उन्हें ढंडस बंधाते,श करेंगे वे जहां भी होंगी हम उन्हें ढूंढ निकालेंगे सीता हमारी प्रतीक्षा कर रही होंगी लक्ष्मण ने उन्हें ढंडस बंधाते,श करेंगे वे जहाँ भी होंगी हम उन्हें ढूंढ निकालेंगे सीता हमारी प्रतीक्षा कर रही होंगी लक्ष्मण ने उन्हें ढंडस बंधाते
हुए कहा राम शांत हुए पर थोड़ी ही देर में हा प्रिय कहते हुए पुनः्विलाब करने लगे,हुए कहा राम शांत हुए पर थोड़ी ही देर में हा प्रिय कहते हुए पुनः्विलाब करने लगे,हुए कहाँ राम शांत हुए पर थोड़ी ही देर में प्रिय कहते हुए पुनःविलाब करने लगे
इसी बीच आश्रम के आसपास भटकने वाला हिरणों का एक झुंड रामलक्ष्मण के निकट आ गया राम को लगा कि हिरण,इसी बीच आश्रम के आसपास भटकने वाला हिरणों का एक झुंड रामलक्ष्मण के निकट आ गया राम को लगा कि हिरण,इसी बीच आश्रम के आसपास भटकने वाला हिरणों का एक झुंड रामलक्ष्मण के निकट आ गया राम को लगा कि हिरण
सीता के बारे में जानते हैं उन्हें कुछ बताना चाहते हैं हेमरेज,सीता के बारे में जानते हैं उन्हें कुछ बताना चाहते हैं हेमरेज,सीता के बारे में जानते हैं उन्हें कुछ बताना चाहते हैं हेमरेज
तुम्हीं बताओ सीटा कहा है राम ने पूछा इन्होंने सिर उठाकर आसमान की ओर देखा और दक्षिण दिशा की,तुम्हीं बताओ सीटा कहा है राम ने पूछा इन्होंने सिर उठाकर आसमान की ओर देखा और दक्षिण दिशा की,तुम्हीं बताओ सीटा कहा है राम ने पूछा इन्होंने सिर उठाकर आसमान की ओर देखा और दक्षिण दिशा की
ओर हाग गए,ओर हाग गए,ओर हाग गए
राम ने संकेत समझ लिया उन्हें सीता की खोज दक्षिण दिशा में ही करनी चाहिए उन्होंने लक्ष्मण से कहा हिरण उसी,राम ने संकेत समझ लिया उन्हें सीता की खोज दक्षिण दिशा में ही करनी चाहिए उन्होंने लक्ष्मण से कहा हिरण उसी,राम ने संकेत समझ लिया उन्हें सीता की खोज दक्षिण दिशा में ही करनी चाहिए उन्होंने लक्ष्मण से कहा हिरण उसी
ओर गए हैं वन में भटकते हए उन्होंने एक टूटे हुए रत के टुकड़े देखे मरा हुआ सारथी और मृत,ओर गए हैं वन में भटकते हए उन्होंने एक टूटे हुए रत के टुकड़े देखे मरा हुआ सारथी और मृत,ओर गए हैं वन में भटकते हए उन्होंने एक टूटे हुए रत के टुकड़े देखे मरा हुआ साथी और मृत
स घोड़े भी थे,स घोड़े भी थे,सर घोड़े भी थे
वन में रथ का क्या प्रयोजन,वन में रथ का क्या प्रयोजन,वन में रथ का क्या प्रयोजन
न उसके टूटने का क्या अर्थ,न उसके टूटने का क्या अर्थ,ना उसके टूटने का क्या अर्थ
राम अस्तमंजस में पड़ गएलगता है थोड़ी देर पहले यहाँ संघर्ष हुआ है,राम अस्तमंजस में पड़ गएलगता है थोड़ी देर पहले यहाँ संघर्ष हुआ है,राम अस्तमंजस में पड़ गया लगता है थोड़ी देर पहले यहाँ संघर्ष हुआ है
लक्ष्मण ने कहा यह पुष्पमाला वही है जिसे सीता ने गेणी मे बूथ रखा था निश्चित तौर पर सीता राक्षशो,लक्ष्मण ने कहा यह पुष्पमाला वही है जिसे सीता ने गेणी मे बूथ रखा था निश्चित तौर पर सीता राक्षशो,लक्ष्मण ने कहा यह पुष्पमाला वही है जिसे सीता ने गेणी मे बूथ रखा था निश्चित तौर पर सीता राक्षशो
के चुंगल में फँस गई है यह माला,के चुंगल में फँस गई है यह माला,के चुंगल में फँस गई है यह माला
ा संघर्ष के दौरान वेणी से टूटकर गिरी होगी पर यह रत कैसे टूटा राम सोचने लगे सीता की संघर्ष से,ा संघर्ष के दौरान वेणी से टूटकर गिरी होगी पर यह रत कैसे टूटा राम सोचने लगे सीता की संघर्ष से,संघर्ष के दौरान वेणी से टूट कर गिरी होगी पर यह रत कैसे टूटा राम सोचने लगे सीता की संघर्ष से
